lgcode,pref,city,domain,spf,spf_policy,dmarc,dmarc_policy,mx,mx_spf,mx_spf_policy,mx_dmarc,mx_dmarc_policy
013676,北海道,奥尻町,town.okushiri.lg.jp,False,,False,,ns.town.okushiri.lg.jp,False,,False,
013706,北海道,今金町,town.imakane.lg.jp,True,relax,False,,mail.town.imakane.lg.jp,False,,False,
013714,北海道,せたな町,town.setana.lg.jp,False,,False,,ns.town.setana.lg.jp,False,,False,
013919,北海道,島牧村,vill.shimamaki.lg.jp,True,relax,False,,relay.vill.shimamaki.lg.jp,False,,False,
013927,北海道,寿都町,town.suttu.lg.jp,True,relax,False,,relay.town.suttu.lg.jp,False,,False,
013935,北海道,黒松内町,kuromatsunai.com,False,,False,,,,,,
013943,北海道,蘭越町,town.rankoshi.hokkaido.jp,True,relax,False,,smtp.town.rankoshi.hokkaido.jp,False,,False,
013951,北海道,ニセコ町,town.niseko.lg.jp,True,relax,False,,relay.town.niseko.lg.jp,False,,False,
013960,北海道,真狩村,vill.makkari.lg.jp,True,relax,False,,relay.vill.makkari.lg.jp,False,,False,
013978,北海道,留寿都村,vill.rusutsu.lg.jp,False,,False,,kanri-mail.vill.rusutsu.lg.jp,False,,False,
013986,北海道,喜茂別町,town.kimobetsu.hokkaido.jp,True,strict,False,,relay.town.kimobetsu.hokkaido.jp,False,,False,
013994,北海道,京極町,town-kyogoku.jp,True,relax,False,,smtp.town-kyogoku.jp,False,,False,
014001,北海道,倶知安町,town.kutchan.hokkaido.jp,False,,False,,mail.town.kutchan.hokkaido.jp,False,,False,
014010,北海道,共和町,town.kyowa.hokkaido.jp,False,,False,,,,,,
014028,北海道,岩内町,town.iwanai.hokkaido.jp,True,relax,False,,,,,,
014036,北海道,泊村,vill.tomari.hokkaido.jp,False,,False,,,,,,
014044,北海道,神恵内村,vill.kamoenai.hokkaido.jp,True,relax,False,,relay.vill.kamoenai.hokkaido.jp,False,,False,
014052,北海道,積丹町,town.shakotan.hokkaido.jp,True,strict,False,,smtp.town.shakotan.hokkaido.jp,False,,False,
014061,北海道,古平町,town.furubira.lg.jp,True,relax,False,,smtp.town.furubira.lg.jp,False,,False,
014079,北海道,仁木町,town.niki.hokkaido.jp,False,,False,,dns1.town.niki.hokkaido.jp,False,,False,
014087,北海道,余市町,town.yoichi.hokkaido.jp,True,relax,False,,mail.town.yoichi.hokkaido.jp,False,,False,
014095,北海道,赤井川村,akaigawa.com,True,relax,False,,relay.akaigawa.com,False,,False,
014231,北海道,南幌町,town.nanporo.hokkaido.jp,True,relax,False,,mail.town.nanporo.hokkaido.jp,False,,False,
014249,北海道,奈井江町,town.naie.hokkaido.jp,False,,False,,mx.bizmail.nifty.com,False,,False,
014257,北海道,上砂川町,town.kamisunagawa.hokkaido.jp,True,relax,False,,mail.town.kamisunagawa.hokkaido.jp,False,,False,
014273,北海道,由仁町,town.yuni.lg.jp,True,relax,False,,mail.town.yuni.lg.jp,False,,False,
014281,北海道,長沼町,maoi-net.jp,False,,False,,,,,,
014290,北海道,栗山町,town.kuriyama.hokkaido.jp,True,strict,False,,kyns1.town.kuriyama.hokkaido.jp,False,,False,
014303,北海道,月形町,town.tsukigata.hokkaido.jp,True,relax,False,,imsva.town.tsukigata.hokkaido.jp,False,,False,
014311,北海道,浦臼町,town.urausu.hokkaido.jp,True,relax,False,,,,,,
014320,北海道,新十津川町,town.shintotsukawa.lg.jp,True,relax,False,,relay.town.shintotsukawa.lg.jp,False,,False,
014338,北海道,妹背牛町,town.moseushi.hokkaido.jp,False,,False,,aspmx.l.google.com,False,,False,
014338,北海道,妹背牛町,town.moseushi.hokkaido.jp,False,,False,,alt4.aspmx.l.google.com,False,,False,
